,name,lat,long
495,Jack's Hard Cider (Hauser Estate...,39.79477812,-77.20079318
496,Coalition Brewing Company,45.5224184,-122.6376772
497,Redstone Meadery,40.02494276,-105.2428393
498,Blue Dog Mead,44.05711816,-123.0971367
499,Hess Brewing Company,32.76425276,-117.2426942
500,Ciderboys,44.53175247,-89.57348929
501,Roanoke Railhouse Brewery,37.24400921,-79.96183232
502,Schlafly Brewing Company,38.61820027,-90.29011514
503,Lost Rhino Brewing Company,39.01631056,-77.4750584
504,Angry Orchard Cider Company,39.11453697,-84.52169271
505,Southern Oregon Brewing Company,42.35660294,-122.8587697
506,MillKing It Productions,42.53429504,-83.17666485
507,Pateros Creek Brewing Company,40.5901995,-105.0759642
508,Mavericks Beer Company,37.50434573,-122.4849142
509,TailGate Beer,32.70742795,-117.1522155
510,Dad & Dude's Breweria,39.59409619,-104.8059675
511,Centennial Beer Company,41.97675134,-87.24318856
512,The Black Tooth Brewing Company,44.80098686,-106.9529917
513,Armstrong Brewing Company,37.65572485,-122.4130975
514,AC Golden Brewing Company,39.75931705,-104.9823986
515,Big Bend Brewing Company,30.34818229,-103.6972208
516,Brindle Dog Brewing Company,28.04358895,-82.62461799
517,Terrapin Brewing Company,33.98060843,-83.3963626
518,Pete's Brewing Company,29.57650894,-98.47681979
519,Crystal Springs Brewing Company,39.96100643,-105.1182511
520,Tonka Beer Company,44.98371271,-93.18616675
521,Good People Brewing Company,33.50714305,-86.81136178
522,Telluride Brewing Company,37.94638642,-107.8758471
523,7 Seas Brewing Company,47.32832565,-122.5766364
524,MacTarnahans Brewing Company,45.54147587,-122.7120893
525,Stillmank Beer Company,44.50481476,-87.97811545
526,Stone Coast Brewing Company,43.71038,-70.30599
527,Broken Tooth Brewing Company,62.6534213,-151.072898
528,Seven Brides Brewery,45.0141211,-122.7849621
529,Dry Dock Brewing Company,40.03231624,-103.9660493
